Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
21,5.0,0.2729,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",블록체인 디지털 통화 결제 은행 금융 향상 비트코인 도입 중앙은행
22,1.0,0.3364,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",과학 분야 금융 정부 영국 비즈니스 가능 중요 기술 이용자
23,7.0,0.6043,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",금융 핀테크 산업 혁신 서비스 개선 제도 분야 시대 경쟁
24,2.0,0.3668,"정보, 고객, 변화, 기관, 기업, 상품, 비즈니스, 사용, 제공, 그룹",금융 기관 핀테크 고객 활용 기업 디지털 서비스 시장 회사
25,4.0,0.3436,"데이터, 발전, 세계, 기관, 보안, 이용, 인터넷, 네트워크, 방법, 환경",인도 서비스 핀테크 디지털 정부 확인 계좌 결제 인구 추진
26,1.0,0.1746,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",기술 자산 암호 정보 데이터 은행 디지털 수단 통화 이용
27,1.0,0.5795,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",은행 제도 감독 이원 면허 법 미국 연방 기초 국법
28,1.0,0.4922,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",무현금 결제 현금 보급 나라 과제 이용자 목표 대응 통화
29,1.0,0.2798,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",금융 은행 세계 업계 기술 목표 시스템 변화 영향 리더
30,6.0,0.7762,"암호화폐, 법, 규제, 거래, 검토, 이용, 대장, 미국, 국제, 사법",암호화폐 교환 업자 사법 규제 미국 지위 고객 대상 소개
31,8.0,0.2592,"통화, 디지털, 발행, 중앙은행, 국제, 결과, 각국, 운영, 자금, 법정",디지털 중앙은행 발행 정보 통화 영향 결제 지불 화폐 기술
32,9.0,0.4097,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",자산 암호 감독 규제 암호화폐 교환 의무 법상 독일 토큰
33,6.0,0.8351,"암호화폐, 법, 규제, 거래, 검토, 이용, 대장, 미국, 국제, 사법",암호화폐 검토 거래 분산 이용 적용 법 기술 대장 규제
34,2.0,0.5913,"정보, 고객, 변화, 기관, 기업, 상품, 비즈니스, 사용, 제공, 그룹",금융 고객 상품 서비스 기관 비즈니스 정보 요구 발전 변화
35,3.0,0.1991,"현금, 무현금, 카드, 은행, 수단, 이용, 지불, 비용, 전자, 사용",연구 금융 통화 추가 중앙은행 현금 사용 프리미엄 추정 교환
36,6.0,0.4168,"암호화폐, 법, 규제, 거래, 검토, 이용, 대장, 미국, 국제, 사법",암호화폐 사법 이용자 보호 기술 법 비트코인 검토 규제 존재
37,5.0,0.7284,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",금융 블록체인 비즈니스 분야 영향 처리 시스템 활용 이점 거래
38,5.0,0.4539,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",블록체인 가능 기술 혁신 영향 시스템 데이터 발전 시점 정보
39,5.0,0.2732,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",금융 서비스 기관 혁신 인터넷 기업 기술 은행 제휴 투자
40,5.0,0.4711,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",계약 블록체인 증거 스마트 본고 법 가능 규제 대장 사례
41,1.0,0.3527,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",현금 사용 거래 무현금 결제 제한 중앙은행 통화 검토 디지털
42,7.0,0.3076,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",금융 혁신 고객 서비스 활용 기술 솔루션 제공 디지털 시스템
43,0.0,0.3068,"지급결제, 제도, 분석, 변화, 인공지능, 연구, 정책, 제시, 효율, 효과",지급결제 지급 서비스 시스템 기구 시장 협의 금융 주요 소비자
44,7.0,0.4209,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",금융 핀테크 서비스 지역 경제 노조 기술 본고 기관 아시아
45,7.0,0.3173,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",서비스 핀테크 제공 융자 투자 금융 영향 전통 효과 비교
46,5.0,0.5048,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",금융 기술 디파이 서비스 이해 중앙 시스템 활용 블록체인 연구
47,2.0,0.4432,"정보, 고객, 변화, 기관, 기업, 상품, 비즈니스, 사용, 제공, 그룹",핀테크 보험 활용 디지털 기술 업무 회사 고객 효율 기업
48,5.0,0.7175,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",금융 블록체인 산업 분야 영향 장점 처리 기술 활용 정리
49,4.0,0.4221,"데이터, 발전, 세계, 기관, 보안, 이용, 인터넷, 네트워크, 방법, 환경",사이버 보안 국가 금융 차원 전략 영국 공격 피해 발생
50,4.0,0.3374,"데이터, 발전, 세계, 기관, 보안, 이용, 인터넷, 네트워크, 방법, 환경",기술 서비스 데이터 협력 변화 활용 잠재력 기관 기업 발전
51,7.0,0.5443,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",빅데이터 산업 데이터 혁명 기술 인공지능 변화 결합 금융 정보
52,5.0,0.4582,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",기술 은행 블록체인 금융 가능 활용 업무 시스템 거래 과제
53,5.0,0.5685,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",기술 분야 금융 활용 블록체인 사례 인터넷 결제 거래 확립
54,1.0,0.6302,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",결제 리 정비 상황 테일 법 검토 서비스 법제 가상화폐
55,1.0,0.3443,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",결제 무현금 활용 분야 인 정책 대응 나라 추진 향상
56,7.0,0.3354,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",결제 기술 기업 서비스 금융 시스템 등장 변화 모델 발달
57,7.0,0.6186,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",시스템 참가 지급결제 결제 금융 핀테크 기업 개방 회사 투자
58,9.0,0.2821,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",예금 카드 현금 변화 위조 방법 인출 판례 은행 예금자
59,7.0,0.6064,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",핀테크 영국 혁신 필요 규제 산업 개선 필수 대출 정부
60,7.0,0.3814,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",금융 혁신 투자 제도 경제 구축 자산 폭 필요 자금
61,1.0,0.46,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",금융 경제 소비자 서비스 정책 세기 시장 목적 형태 의미
62,2.0,0.5759,"정보, 고객, 변화, 기관, 기업, 상품, 비즈니스, 사용, 제공, 그룹",금융 상품 고객 서비스 기관 변화 은행 정보 혁신 발전
63,5.0,0.3207,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",금융 활용 기술 검토 시장 인프라 개발 본고 진행 산업
64,4.0,0.2998,"데이터, 발전, 세계, 기관, 보안, 이용, 인터넷, 네트워크, 방법, 환경",보고서 증권 업계 규제 활용 발전 시장 가운데 컴플라이언스 고객
65,0.0,0.5474,"지급결제, 제도, 분석, 변화, 인공지능, 연구, 정책, 제시, 효율, 효과",산업 효과 유발 생산 금융 금융서비스 분석 서비스 부문 부가가치
66,8.0,0.3372,"통화, 디지털, 발행, 중앙은행, 국제, 결과, 각국, 운영, 자금, 법정",통화 가상화폐 법정 디지털 필요 성장 국제 엔 초래 현재
67,0.0,0.6315,"지급결제, 제도, 분석, 변화, 인공지능, 연구, 정책, 제시, 효율, 효과",연구 지급결제 제도 정책 기술 분석 서비스 필요 중요 분야
68,1.0,0.4509,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",결제 무현금 현금 서비스 이용자 제공 정비 추진 은행 정부
69,5.0,0.5319,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",시스템 블록체인 활용 서비스 기업 분산 실현 가능 데이터 플랫폼
70,3.0,0.531,"현금, 무현금, 카드, 은행, 수단, 이용, 지불, 비용, 전자, 사용",카드 비용 추가 지불 고객 수수료 신용 카드사 혜택 시장
71,8.0,0.2815,"통화, 디지털, 발행, 중앙은행, 국제, 결과, 각국, 운영, 자금, 법정",디지털 통화 은행 거래 법정 정책 장점 전반 나라 모델
72,5.0,0.3303,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",금융 핀테크 기술 기관 기업 활용 업계 미국 대형 벤처
73,1.0,0.3177,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",핀테크 금융 발전 촉진 미국 비즈니스 시스템 검토 영향 이용자
74,4.0,0.2751,"데이터, 발전, 세계, 기관, 보안, 이용, 인터넷, 네트워크, 방법, 환경",금융 핀테크 서비스 거래 기술 활용 제공 활동 세계 정보
75,0.0,0.4527,"지급결제, 제도, 분석, 변화, 인공지능, 연구, 정책, 제시, 효율, 효과",지급결제 한국은행 정책 단어 네트워크 기관 협력 조합 환경 제도
76,3.0,0.4833,"현금, 무현금, 카드, 은행, 수단, 이용, 지불, 비용, 전자, 사용",은행 결제 지급결제 북한 수단 현금 무현금 조선 채널 기관
77,5.0,0.2741,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",금융 가상화폐 핀테크 결제 블록체인 변화 비즈니스 채널 산업 전자
78,5.0,0.5143,"블록체인, 활용, 분야, 가능, 거래, 기관, 본고, 업계, 구조, 데이터",거래 가능 금융 분야 블록체인 기관 데이터 관리 비트코인 금리
79,3.0,0.778,"현금, 무현금, 카드, 은행, 수단, 이용, 지불, 비용, 전자, 사용",방식 환어음 결제 은행 거래 추심 선적 수입자 무역 대금
80,6.0,0.3802,"암호화폐, 법, 규제, 거래, 검토, 이용, 대장, 미국, 국제, 사법",금융 법 월스트리트 처리 파산 도드 프랭크 미국 기관 규제
81,1.0,0.3079,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",결제 금융 시스템 제도 세계 영국 경제 본고 서비스 소액결제
82,7.0,0.3958,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",은행 금융 시스템 펀드 거래 필요 경제 기능 투자 성장
83,9.0,0.3431,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",규제 법률 실행 가상화폐 법 일본 비트코인 거래 통제 법화
84,7.0,0.2794,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",금융 서비스 변화 제공 환경 기관 가능 사업 정보 이용자
85,1.0,0.6991,"은행, 검토, 필요, 규제, 대응, 경제, 나라, 제도, 도입, 논의",화폐 규제 경쟁 은행 제도 정비 시스템 보급 기술 관점
86,4.0,0.4432,"데이터, 발전, 세계, 기관, 보안, 이용, 인터넷, 네트워크, 방법, 환경",정보 공학 보안 사용 심리 실수 조작 액세스 용어 인간
87,0.0,0.6119,"지급결제, 제도, 분석, 변화, 인공지능, 연구, 정책, 제시, 효율, 효과",효율 모형 지급결제 시스템 금융망 연구 분석 투입 산출 비교
88,9.0,0.3553,"거래, 가상자산, 자산, 규제, 가능, 암호, 존재, 투자자, 자금, 발생",개념 결제 시스템 완결 완료 지급결제 중요 나라 논의 금융
89,7.0,0.2997,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",결제 지급결제 시장 기술 비용 후생 가맹점 서비스 폰 변화
90,0.0,0.7918,"지급결제, 제도, 분석, 변화, 인공지능, 연구, 정책, 제시, 효율, 효과",제도 지급결제 경로 변화 분석 진화 형태 해당 과정 겹
91,0.0,0.298,"지급결제, 제도, 분석, 변화, 인공지능, 연구, 정책, 제시, 효율, 효과",분산원장 기술 금융 효과 시장 편익 자본 검토 분석 적용
92,7.0,0.3056,"시스템, 시장, 혁신, 산업, 영향, 기업, 제공, 투자, 소비자, 연구",금융 서비스 핀테크 기술 산업 기관 스타일 지원 데이터 활용
